lat,long,time,Year,Month,Day,Hour,Minute,Second,CTD,Depth,Press,Salinity,Temperature,Oxygen,ChlF,Turbidity,FDOM,Density,OxygenSaturationConc,OxygenSaturation
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,9.05,19.2157592773438,16.9944539667503,6.04449462890625,336.198303222656,3.24874623242677,0.696349998315175,7.46608849727615,1013.35534653443,342.736259351919,98.0924235615966
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,9.45,19.6654281616211,21.1995849261962,6.21159871419271,325.752858479818,NaN,NaN,NaN,1016.649046089,330.954923532593,98.4281650814411
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,9.65,19.8287340799967,23.3301666627553,6.290283203125,316.842278374566,3.35844505261397,0.711883306503296,7.00250029563904,1018.31762523692,325.19840312723,97.4304533256289
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,9.75,19.9927711486816,23.5012353506351,6.2967529296875,313.180908203125,3.25075014432271,NaN,6.97158360481262,1018.45157208317,324.739675613786,96.4406051127527
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,10.25,20.4532032012939,23.6367168326096,6.30044555664062,312.339701334635,3.20675015449524,0.723316649595896,6.96025013923645,1018.55779995314,324.387937254611,96.2858557497719
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,10.65,20.856082371303,23.7240306178907,6.29817097981771,309.934204101562,3.07491685421497,0.699616662661234,6.95446689923604,1018.62673923348,324.197436034096,95.600448878617
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,10.95,21.1681289672852,23.7880250044541,6.29801432291667,309.864044189453,3.05550030227653,0.735533316930135,NaN,1018.67711252448,324.046211623064,95.6234120551586
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,11.35,21.6020088195801,23.8434520693477,6.29761759440104,309.111511230469,3.04133362925204,0.746199985345205,6.95016702016195,1018.72076955822,323.917304408176,95.4291441129524
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,11.45,21.7176866531372,23.9277927009779,6.29691569010417,308.001286824544,2.82416795541265,0.704783310492833,6.88250063036832,1018.78721171249,323.722006783492,95.1437592658129
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,11.55,21.7485618591309,23.8950660926127,6.29725138346354,308.389027913411,3.04566677411397,0.718433320522308,6.94300047556559,1018.76142351108,323.7972855083,95.2413876568791
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,11.75,21.9477844238281,24.1323501391806,6.29606119791667,307.764516194661,2.32383464623906,0.714483300844828,6.82000055089546,1018.94827719401,323.242286693298,95.211712348353
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,12.15,22.3954467773438,24.3811000667883,6.29515584309896,307.14311726888,NaN,0.712533305088679,6.78975033760071,1019.144136632,322.658845374485,95.1912900179143
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,12.55,22.776909828186,24.6652804335312,6.29385715060764,304.84629313151,2.21108347177505,0.697941641012828,6.75319470299615,1019.36793633255,321.995599951674,94.6740555390391
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,12.65,22.9168109893799,24.7756424530335,6.29293823242188,303.010976155599,1.63825005292892,0.747199982404709,6.67575025558472,1019.45489772388,321.741562118101,94.1783753894914
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,13.05,23.3195724487305,24.9943510898989,6.28926595052083,302.530771891276,1.4910834034284,0.734499981005987,6.62425025304158,1019.62743705482,321.252842698239,94.1721696064339
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,13.35,23.6152458190918,25.4241388894826,6.28575303819445,299.172631157769,1.33938895778529,0.750927759541406,6.58255595953877,1019.96613938892,320.266348919795,93.413695246731
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,13.45,23.7087847391764,25.9578227944102,6.28430853949653,295.14310031467,1.17494476667178,0.813574979702632,6.49483385319834,1020.38646518414,319.023420410899,92.5145558073852
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,13.55,23.8030796051025,26.481957931074,6.28760782877604,291.331726074219,0.937000829164072,NaN,6.32750081438376,1020.79881412774,317.771852279324,91.6795254156545
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,13.95,24.2243900299072,26.8735614847737,6.2958984375,289.622477213542,NaN,0.80623330672582,6.22383403200461,1021.10628414382,316.796301748581,91.4223037374326
